#,Variety Name,Category,NSIC Code,Yield,Maturity,Urea (46-0-0) (Solid),Complete (14-14-14) (Solid),Ammonium Sulfate (21-0-0) (Solid),Muriate of Potash (0-0-60) (Solid),Biofertilizer (Liquid Concentrate) (Liquid),Nanobiofertilizer (Liquid),Organic Root Exudate Mix (Liquid),Azolla microphylla (Liquid),Foliar Liquid Fertilizer (NPK) (Liquid)
,,,,,,Solid,Solid,Solid,Solid,Liquid,Liquid,Liquid,Liquid,Liquid
,🟦 HYBRID SEEDS — 11 Varieties,,,,,,,,,,,,,
1,Mestiso 1 (M1),Hybrid,PSB Rc72H,Up to 9.9 t/ha,123 days,Boosts tiller count and leaf area index; increases grain protein; apply at transplanting and 40 DAT.,Provides balanced NPK at establishment; promotes strong root system and early canopy development.,Provides N + S for grain protein; slight soil acidification improves nutrient availability in alkaline fields.,Strengthens culm and reduces lodging; improves blast and BLB disease resistance significantly.,Brassinosteroids boost hybrid's stem elongation and pollen viability; foliar application at tillering and PI improves filled spikelet ratio.,Nano-scale nutrients penetrate leaf cuticle rapidly; algae and bacteria components enrich rhizosphere for improved hybrid rooting.,Root exudate compounds activate beneficial rhizobacteria; improves nutrient solubilization near hybrid roots for better N and P uptake.,"Fixes 20–30 kg N/ha when flooded; organic N released slowly matches hybrid's vegetative growth demand, reducing urea requirement.",Water-soluble NPK absorbed directly through leaves; foliar application at PI stage rapidly corrects mid-season nutrient deficiency in hybrid.
2,Mestiso 20 (M20),Hybrid,NSIC Rc204H,6.4–11.7 t/ha,111 days,Promotes vigorous vegetative growth; top-dress at active tillering (21 DAT) and PI for max yield.,Ensures all macro-nutrients available from day 1; supports high early growth rate in hybrid.,Sulfur component boosts amino acid synthesis; improves grain protein profile and milling quality.,Enhances panicle weight and filled grain percentage; improves grain plumpness at maturity.,Triacontanol stimulates photosynthetic rate; iron and zinc micronutrients support chlorophyll synthesis and leaf greenness in high-yield hybrid.,Humic and fulvic acids improve nutrient chelation; sea kelp extract promotes cell division and panicle initiation in hybrid.,Organic acids in mix lower localized soil pH around roots; improves micronutrient availability in alkaline paddy soils.,Azolla decomposition improves soil organic matter; released N supports high-yield hybrid's tillering stage without leaching risk.,Foliar NPK at heading stage improves grain set percentage; rapid leaf absorption bypasses soil nutrient fixation issues.
3,Mestiso 29,Hybrid,NSIC Rc244H,Up to 11 t/ha,113 days,Enhances spikelet count and panicle weight; split application recommended to prevent lodging.,Stimulates uniform root development and tillering; balanced start for high-yield potential.,Enhances N use efficiency through sulfur synergy; slower N release reduces leaching losses.,Increases stalk rigidity and standability; K improves water use efficiency in irrigated fields.,Vitamin B complex improves root metabolism; Cu and Zn enhance enzymatic activity supporting spikelet development and grain set.,Nano-phosphate improves P availability in flooded soils; microbial component enhances P solubilization near roots.,Promotes mycorrhizal associations; organic materials stimulate fungal networks that extend root nutrient scavenging range.,"Green manure adds N, P, K and micronutrients upon decomposition; improves soil structure for robust hybrid root development.",Quick-response nutrient supply during reproductive stage; foliar application corrects deficiency symptoms within 48–72 hours.
4,Mestiso 55,Hybrid,NSIC Rc368H,Up to 10 t/ha,~115 days,Increases leaf greenness (SPAD value); supports high yield potential through improved canopy photosynthesis.,Boosts early seedling vigor; NPK balance improves transplanting survival and establishment.,Promotes deep green leaf color indicating high N status; sulfur supports enzyme activity.,Boosts stress tolerance and root activity; potassium supports grain filling under heat stress.,Potassium oxide component strengthens cell walls; biostimulant action supports canopy health under humid field conditions.,Nano-potash enhances K uptake efficiency; beneficial fungi improve root colonization and nutrient scavenging.,Root exudates feed beneficial bacteria producing phytohormones; improves tillering response and root biomass of hybrid.,Biological N fixation reduces chemical fertilizer cost; Azolla residue improves soil water retention in irrigated paddies.,Supplemental foliar N at PI improves panicle size; water-soluble K at heading reduces spikelet sterility in hybrid.
5,Mestiso 73,Hybrid,—,Under testing,—,Supports nitrogen-intensive hybrid vigor; critical at PI stage for grain filling and protein accumulation.,Provides complete nutritional foundation; critical for hybrid vigor expression in first 3 weeks.,Boosts photosynthetic efficiency through Rubisco activation; sulfur critical for N metabolism.,Improves hybrid stability across environments; K reduces susceptibility to environmental stresses.,Microbially synthesized compounds promote root exudate activity; improves rhizosphere microbiome for better nutrient uptake in next-gen hybrid.,Bacteria component fixes additional atmospheric N; combined bio-nano action supports next-gen hybrid's high demand.,Organic compounds suppress pathogenic soil microbes; creates healthier rhizosphere environment for next-gen hybrid roots.,Azolla as pre-crop green manure builds soil N bank; beneficial for next-gen hybrid's high N demand at vegetative stage.,Foliar NPK supports next-gen hybrid's intensive nutrient demand; applied at 2–3 key growth stages for best response.
6,Mestiso 99,Hybrid,—,Under testing,—,Promotes robust panicle formation; split N application reduces luxury consumption and lodging risk.,Supports early root establishment; phosphorus component promotes root branching and uptake.,Improves grain nitrogen accumulation; particularly effective in alkaline or calcareous soils.,Supports high grain weight; potassium improves phloem transport of assimilates to grains.,Enhances hybrid stress tolerance through brassinosteroid signaling; beneficial during reproductive stage to reduce spikelet sterility.,Fulvic acid improves transport of nutrients across cell membranes; enhances photosynthate production in high-yield hybrid.,Stimulates N-fixing bacteria near root zone; partially offsets mineral N requirement while improving root health.,Adds up to 30 kg N/ha organically; decomposed Azolla biomass improves soil cation exchange capacity for hybrid fields.,Rapid nutrient correction at critical stages maximizes hybrid yield; foliar K at flag leaf stage improves grain filling.
7,Mestiso 103,Hybrid,—,Under testing,—,Enhances grain weight; precise N timing at PI stage maximizes harvest index.,Enhances early stand uniformity; balanced NPK improves crop establishment in varied soil conditions.,Supports grain protein synthesis at heading; combined N+S effect improves nutritional grain quality.,Reduces lodging at high yield levels; K strengthens cell walls and improves stalk diameter.,Supports high yield expression; iron component addresses potential micronutrient deficiencies in intensive paddy production.,Sea kelp provides natural cytokinins and auxins; promotes grain set and reduces unfilled spikelets at heading.,Organic acids chelate iron and zinc; improves micronutrient bioavailability in paddy soils under flooded conditions.,Green manure incorporation before transplanting improves soil biology; Azolla-derived N supports early hybrid vigor.,Water-soluble NPK improves nutrient use efficiency; foliar application reduces nutrient loss from flooded paddy soils.
8,Jackpot,Hybrid,Hybrid,High,~115 days,"Increases tiller number and panicle density; apply 1/3 at transplanting, 1/3 at tillering, 1/3 at PI.",Promotes fast establishment after transplanting; reduces transplanting shock through balanced nutrition.,Provides sustained N release with S bonus; reduces ammonia volatilization compared to urea.,Critical for maintaining stem integrity; apply at PI stage for maximum lodging prevention.,Boosts early rooting and stand establishment; triacontanol improves cell division rate in young seedlings after transplanting.,Nano-scale delivery maximizes nutrient uptake per unit applied; algae extract improves early seedling establishment.,Enhances root exudate signaling; promotes beneficial microbial colonization that produces growth-promoting substances.,Dual cropping of Azolla with rice provides continuous N; flooded paddy conditions support Azolla growth alongside crop.,Foliar spray at tillering and PI supports hybrid vigor; water-soluble nutrients boost canopy greenness and photosynthesis.
9,US88,Hybrid,Hybrid,High,~115 days,Boosts biomass accumulation during vegetative stage; key for expressing hybrid yield advantage.,Supports uniform stand and early canopy closure; phosphorus enhances root mass development.,Enhances panicle N content; sulfur improves chlorophyll stability and prolongs green leaf area.,Improves grain filling duration; K regulates stomatal function and water loss during grain fill.,Zinc and copper micronutrients support enzyme systems; foliar spray at heading improves grain nutrition and weight.,Humic acid improves soil structure and water retention; reduces nutrient leaching in sandy or degraded soils.,Improves rhizosphere microbiome diversity; organic compounds promote soil aggregation and improve water infiltration.,Reduces urea requirement by 25–30%; Azolla organic matter improves soil physical properties in intensive hybrid paddies.,Foliar NPK at heading corrects late-season deficiency; improves grain plumpness and reduces chalkiness at maturity.
